CustomerId,Name,Gender,Age,Salary,LocationId,Churned,AccountId,Tenure,Balance,NumProducts,HasCreditCard,IsActive,Geography
15634602,Hargrave,Female,42,101348.88,2,1,A15634602SID,2,,1,1,1,France
15647311,Hill,Female,41,112542.58,6,0,A15647311SID,1,83807.86,1,0,1,USA
15619304,Onio,Female,42,113931.57,4,1,A15619304SID,8,159660.8,3,1,0,UK
15701354,Boni,Female,39,93826.63,1,0,A15701354SID,1,,2,0,0,Germany
15737888,Mitchell,Female,43,79084.1,4,0,A15737888SID,2,125510.82,1,1,1,UK
15574012,Chu,Male,44,149756.71,1,1,A15574012SID,8,113755.78,2,1,0,Germany
15592531,Bartlett,Male,50,10062.8,5,0,A15592531SID,7,,2,1,1,Canada
15656148,Obinna,Female,29,119346.88,1,1,A15656148SID,4,115046.74,4,1,0,Germany
15792365,He,Male,44,74940.5,5,0,A15792365SID,4,142051.07,2,0,1,Canada
15592389,H?,Male,27,71725.73,4,0,A15592389SID,2,134603.88,1,1,1,UK
15767821,Bearce,Male,31,80181.12,4,0,A15767821SID,6,102016.72,2,0,0,UK
15737173,Andrews,Male,24,76390.01,1,0,A15737173SID,3,,2,1,0,Germany
15632264,Kay,Female,34,26260.98,5,0,A15632264SID,10,,2,1,0,Canada
15691483,Chin,Female,25,190857.79,5,0,A15691483SID,5,,2,0,0,Canada
15600882,Scott,Female,35,65951.65,1,0,A15600882SID,7,,2,1,1,Germany
15643966,Goforth,Male,45,64327.26,5,0,A15643966SID,3,143129.41,2,0,1,Canada
15737452,Romeo,Male,58,5097.67,4,1,A15737452SID,1,132602.88,1,1,0,UK
15788218,Henderson,Female,24,14406.41,2,0,A15788218SID,9,,2,1,1,France
15661507,Muldrow,Male,45,158684.81,2,0,A15661507SID,6,,1,0,0,France
15568982,Hao,Female,24,54724.03,2,0,A15568982SID,6,,2,1,1,France
15577657,McDonald,Male,41,170886.17,5,0,A15577657SID,8,,2,1,1,Canada
15597945,Dellucci,Female,32,138555.46,2,0,A15597945SID,8,,2,1,0,France
15699309,Gerasimov,Female,38,118913.53,2,1,A15699309SID,4,,1,1,0,France
15725737,Mosman,Male,46,8487.75,4,0,A15725737SID,3,,2,0,1,UK
15625047,Yen,Female,38,187616.16,2,0,A15625047SID,5,,1,1,1,France
15738191,Maclean,Male,25,124508.29,6,0,A15738191SID,3,,2,0,1,USA
15736816,Young,Male,36,170041.95,1,0,A15736816SID,2,136815.64,1,1,1,Germany
15700772,Nebechi,Male,44,38433.35,6,0,A15700772SID,9,,2,0,0,USA
15728693,McWilliams,Female,43,100187.43,1,0,A15728693SID,3,141349.43,1,1,1,Germany
15656300,Lucciano,Male,29,53483.21,4,0,A15656300SID,0,59697.17,2,1,1,UK
15589475,Azikiwe,Female,39,140469.38,4,1,A15589475SID,3,,3,1,0,UK
15706552,Odinakachukwu,Male,36,156731.91,2,0,A15706552SID,7,85311.7,1,0,1,France
15750181,Sanderson,Male,41,81898.81,2,0,A15750181SID,9,110112.54,2,0,0,France
15659428,Maggard,Female,42,34410.55,3,0,A15659428SID,6,,2,1,1,Spain
15732963,Clements,Female,29,142033.07,3,0,A15732963SID,9,,2,1,1,Spain
15794171,Lombardo,Female,45,27822.99,5,1,A15794171SID,0,134264.04,1,1,0,Canada
15788448,Watson,Male,31,114066.77,3,0,A15788448SID,3,145260.23,1,0,1,Spain
15729599,Lorenzo,Male,33,98453.45,5,0,A15729599SID,7,76548.6,1,0,1,Canada
15717426,Armstrong,Male,36,40812.9,2,0,A15717426SID,7,,1,1,1,France
15585768,Cameron,Male,41,178074.04,3,0,A15585768SID,6,70349.48,2,0,1,Spain
15619360,Hsiao,Male,40,70154.22,4,0,A15619360SID,4,,1,1,0,UK
15738148,Clarke,Female,51,181297.65,6,1,A15738148SID,8,122522.32,1,0,0,USA
15687946,Osborne,Female,61,94153.83,2,0,A15687946SID,2,117419.35,1,1,1,France
15755196,Lavine,Female,49,194365.76,3,1,A15755196SID,2,131394.56,1,0,0,Spain
15684171,Bianchi,Female,61,158338.39,4,0,A15684171SID,5,155931.11,1,1,1,UK
15754849,Tyler,Female,32,126517.46,2,0,A15754849SID,4,109421.13,2,1,1,France
15602280,Martin,Female,27,119708.21,1,1,A15602280SID,9,112045.67,1,1,1,Germany
15771573,Okagbue,Female,39,117622.8,2,1,A15771573SID,9,137843.8,1,1,1,France
15766205,Yin,Male,38,90878.13,4,0,A15766205SID,2,103391.38,1,0,1,UK
15771873,Buccho,Female,37,194099.12,4,0,A15771873SID,2,103769.22,2,1,0,UK
15616550,Chidiebele,Male,44,198059.16,1,0,A15616550SID,10,116363.37,2,1,0,Germany
15768193,Trevisani,Male,36,86424.57,4,0,A15768193SID,5,146050.97,2,0,0,UK
15683553,O'Brien,Female,33,116978.19,6,0,A15683553SID,5,,2,0,0,USA
15702298,Parkhill,Male,41,164040.94,5,1,A15702298SID,8,125561.97,1,0,0,Canada
15569590,Yoo,Male,42,40014.76,3,1,A15569590SID,1,98495.72,1,1,0,Spain
15760861,Phillipps,Male,43,113410.49,1,0,A15760861SID,1,125211.92,1,1,1,Germany
15630053,Tsao,Male,45,87107.57,1,0,A15630053SID,5,127864.4,1,1,0,Germany
15647091,Endrizzi,Male,19,45613.75,1,0,A15647091SID,0,75888.2,1,0,0,Germany
15623944,T'ien,Female,66,1643.11,3,1,A15623944SID,4,,1,1,0,Spain
15804771,Velazquez,Male,51,46775.28,3,0,A15804771SID,4,40685.92,1,1,1,Spain
15651280,Hunter,Male,35,84509.57,1,0,A15651280SID,5,136857.0,1,0,0,Germany
15773469,Clark,Female,27,126494.82,4,0,A15773469SID,9,152328.88,2,0,0,UK
